_arvind_2001|1
devutreja_34|1
poonam_haldar20|1
beniwal__g_001|1
mlnc.hritikchhawri|1
sehrawatt_abhishek|1
deepshi.malik|1
mlnc_sachin_yadav|1
sejalsingh_18|1
the_gaurav_prajapati|1
bornalikramsapi|1
guptaindrajeet_abvp_5231|1
nitish_narwal01|1
samarthmalik_|1
manishyadav.__|0
sachinushara|1
shubham_mlnce|1
harshk1_|1
mlnc_memes2.0|1
soniboy0001|1
__anshulrao__official|1
iutkarsh_ind|1
shweta_maurya21|0
chaudhary_aman_tomar|1
mlnc.kumarprajapati|1
_neeraj.13|1
aditya__dagar|1
akshtzz75|0
official_roshnimeena20|1
thakurpushpendra_2|1
omkar_thakur_001|1
kunal.tyagi.007|1
gauravthakur09_|0
official_himanshu_143|1
sonali_tiwari22|1
harsh_ydv_7_|1
_baliyan.aryan_|1
naveen110128|1
emantri2201|1
chaudharyaish45|1
bhavnaaah|1
ranjeet_gujjar_|1
anuj_khatri768|1
kartik_rao26|0
_dhruvk_07|0
itz_vats2002|1
b.k.chaudhary_|1
rahul.panwar0001|0
kamal_khowal_prajapati_17|1
gautam_mlnce|1
mlnceofficial|1
du.memes.24|1
reshma.ravi.121|0
dhruv_bansal12|0
rohiitt07|0
pushkarkharb_abvp|0
rao16himanshu|0
abhinav_rapria|0
cyss_mlnce|1
_shub_7|0
aditya_yadav003|1
delhi_metroo|1
__deepanshu584__|1
abhi_khadak_|1
_nikhilpensia|0
xanyeaah|1
vivekvermaa1|1
rishab_choudhary_abvp|1
mukul_sharma_01|0
kiranmeena1605|0
mlnc.sanchitbindal|1
rohittomar_3000mtr|1
uchit.om.chauhan|1
rakesh_choudhary_5|1
akashsolanki7409|0
vikasnehra_07|0
parth.08_|1
rohtash_bishnoi_29|0
tanushree_patwaa|0
shubhamchaudharyofficial|1
yuvraj_singh_mlnc|1
kharb.nishul|1
vasu.moond|0
mohit_rao35|1
bhanudalal9211|1
kartikkk_03|0
preetiyadav86._____|0
parveen_sprinter|0
nitesh__.choudhary|1
_prince_2k2|1
_saini.nitin|0
panghal__gaurav|0
kartikyadavvv|0
himaniabbot__|0
_kagra302|1
bargoti_03|0
rohitbhawariya1|1
vinay_yadav_mlnc|1
anushkaroy8538|0
ashutoshsinghdu|1
prince_rathore_4|0
_thepriyasharma__|0
bhumivashisth4141|0
muskanrelhan._|0
vaibhav_shokeen_|0
anubhav_nain08|1
sandeep_dahiya._|0
du.mlnc.confession|1
daljeet_singh_yadav|0
